Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
1,Indiana Pacers,40,9600,1880,3703,0.508,566,1485,0.381,1314,2218,0.592,698,876,0.797,409,1222,1631,1241,321,247,548,902,5024,57.5
2,Milwaukee Bucks,40,9675,1799,3586,0.502,576,1503,0.383,1223,2083,0.587,824,1055,0.781,385,1392,1777,1073,260,220,527,812,4998,70.0
3,Utah Jazz,42,10180,1776,3798,0.468,555,1558,0.356,1221,2240,0.545,798,968,0.824,536,1423,1959,1176,298,251,678,823,4905,52.4
4,Denver Nuggets,42,10080,1863,3737,0.499,499,1318,0.379,1364,2419,0.564,660,878,0.752,452,1389,1841,1239,299,222,531,796,4885,66.7
5,Oklahoma City Thunder,40,9650,1801,3568,0.505,529,1352,0.391,1272,2216,0.574,746,889,0.839,335,1310,1645,1094,327,254,501,800,4877,67.5
6,Dallas Mavericks,41,9840,1752,3712,0.472,625,1686,0.371,1127,2026,0.556,737,972,0.758,423,1294,1717,1034,281,183,497,774,4866,58.5
7,Boston Celtics,40,9725,1728,3614,0.478,647,1707,0.379,1081,1907,0.567,738,915,0.807,436,1459,1895,1025,260,256,518,700,4841,77.5
8,New Orleans Pelicans,41,9865,1746,3585,0.487,486,1274,0.381,1260,2311,0.545,798,1042,0.766,449,1361,1810,1097,340,196,546,809,4776,58.5
9,Atlanta Hawks,39,9435,1698,3650,0.465,540,1492,0.362,1158,2158,0.537,796,981,0.811,514,1240,1754,1006,319,182,543,742,4732,41.0
10,Sacramento Kings,40,9725,1742,3659,0.476,604,1626,0.371,1138,2033,0.56,639,874,0.731,430,1318,1748,1158,276,159,545,811,4727,57.5
11,Los Angeles Clippers,40,9625,1719,3487,0.493,530,1337,0.396,1189,2150,0.553,737,913,0.807,419,1304,1723,1033,325,212,529,793,4705,65.0
12,Golden State Warriors,40,9675,1686,3625,0.465,589,1596,0.369,1097,2029,0.541,726,917,0.792,511,1332,1843,1126,262,146,583,823,4687,45.0
13,Los Angeles Lakers,41,9890,1733,3557,0.487,445,1245,0.357,1288,2312,0.557,766,992,0.772,342,1424,1766,1136,315,231,588,688,4677,48.8
14,Philadelphia 76ers,39,9410,1658,3480,0.476,472,1264,0.373,1186,2216,0.535,889,1062,0.837,426,1274,1700,995,353,241,484,811,4677,66.7
15,Phoenix Suns,40,9675,1653,3420,0.483,477,1267,0.376,1176,2153,0.546,854,1038,0.823,420,1311,1731,1043,290,245,591,760,4637,55.0
16,Chicago Bulls,42,10230,1718,3752,0.458,498,1384,0.36,1220,2368,0.515,690,877,0.787,470,1352,1822,1009,326,208,520,812,4624,45.2
17,New York Knicks,40,9600,1659,3566,0.465,530,1417,0.374,1129,2149,0.525,756,974,0.776,507,1326,1833,961,301,146,544,748,4604,57.5
18,Toronto Raptors,40,9650,1731,3598,0.481,469,1319,0.356,1262,2279,0.554,669,904,0.74,449,1310,1759,1177,292,195,531,749,4600,37.5
19,Washington Wizards,39,9360,1692,3539,0.478,488,1369,0.356,1204,2170,0.555,634,827,0.767,339,1208,1547,1078,301,212,533,771,4506,17.9
20,Orlando Magic,40,9675,1630,3483,0.468,432,1264,0.342,1198,2219,0.54,794,1053,0.754,447,1309,1756,991,325,221,592,858,4486,55.0
21,Miami Heat,40,9625,1590,3410,0.466,504,1318,0.382,1086,2092,0.519,791,963,0.821,375,1296,1671,1040,298,132,530,742,4475,60.0
22,Detroit Pistons,40,9650,1678,3562,0.471,424,1228,0.345,1254,2334,0.537,690,886,0.779,457,1282,1739,1052,246,205,643,896,4470,10.0
23,Brooklyn Nets,39,9435,1634,3584,0.456,528,1462,0.361,1106,2122,0.521,653,860,0.759,501,1323,1824,1017,253,217,496,748,4449,41.0
24,Minnesota Timberwolves,39,9410,1600,3278,0.488,473,1235,0.383,1127,2043,0.552,738,938,0.787,360,1362,1722,1016,301,232,600,770,4411,71.8
25,Houston Rockets,39,9435,1598,3459,0.462,475,1326,0.358,1123,2133,0.526,725,931,0.779,404,1352,1756,964,281,163,505,843,4396,48.7
26,San Antonio Spurs,39,9410,1629,3569,0.456,503,1455,0.346,1126,2114,0.533,616,784,0.786,381,1302,1683,1130,282,230,577,736,4377,17.9
27,Memphis Grizzlies,40,9650,1563,3567,0.438,540,1587,0.34,1023,1980,0.517,664,856,0.776,408,1295,1703,987,306,253,581,811,4330,37.5
28,Cleveland Cavaliers,38,9170,1595,3376,0.472,493,1399,0.352,1102,1977,0.557,614,798,0.769,428,1279,1707,1004,300,172,533,734,4297,60.5
29,Portland Trail Blazers,39,9460,1521,3531,0.431,485,1368,0.355,1036,2163,0.479,657,843,0.779,480,1136,1616,867,323,180,595,802,4184,25.6
30,Charlotte Hornets,37,8930,1509,3310,0.456,426,1200,0.355,1083,2110,0.513,564,712,0.792,404,1126,1530,912,245,177,517,717,4008,21.6
